phase_code,region_code,label,description,utc_start,utc_end,wraps_midnight,priority,volatility_level,volume_impact,typical_duration_min,trading_pattern,dominant_actors,news_sensitivity,category
# ================================================================================
# GLOBALNE SESJE I SZCZYTY
# ================================================================================
GLOBAL_ASIAN_SESSION,GLOBAL,Global Asian Session,"Pełna azjatycka sesja handlowa (Tokio, Hongkong, Singapur, Seul)","00:00","08:00",FALSE,10,MEDIUM,MEDIUM,480,MIXED,RETAIL,MEDIUM,SESSION
GLOBAL_EUROPE_SESSION,GLOBAL,Global Europe Session,"Pełna europejska sesja handlowa (Londyn, Frankfurt, Paryż)","08:00","16:00",FALSE,10,MEDIUM,HIGH,480,TRENDING,INSTITUTIONAL,HIGH,SESSION
GLOBAL_US_SESSION,GLOBAL,Global US Session,"Pełna amerykańska sesja handlowa (NYC, Chicago)","13:00","21:00",FALSE,10,HIGH,HIGH,480,VOLATILE,INSTITUTIONAL,HIGH,SESSION
GLOBAL_ASIAN_PEAK,GLOBAL,Global Asian Peak,"Szczyt aktywności azjatyckiej","02:00","04:00",FALSE,8,MEDIUM,HIGH,120,MIXED,RETAIL,MEDIUM,SESSION
GLOBAL_EUROPE_PEAK,GLOBAL,Global Europe Peak,"Szczyt aktywności europejskiej","08:00","11:00",FALSE,8,MEDIUM,HIGH,180,TRENDING,INSTITUTIONAL,HIGH,SESSION
GLOBAL_US_PEAK,GLOBAL,Global US Peak,"Szczyt aktywności amerykańskiej","14:00","17:00",FALSE,8,HIGH,HIGH,180,VOLATILE,INSTITUTIONAL,HIGH,SESSION

# ================================================================================
# NAKŁADANIE SIĘ SESJI (OVERLAPS) - Najważniejsze okna zmienności
# ================================================================================
GLOBAL_ASIA_EU_OVERLAP,GLOBAL,Asia-Europe Overlap,"Nakładanie się sesji azjatyckiej i europejskiej - przejście płynności","06:00","08:00",FALSE,4,MEDIUM,MEDIUM,120,MIXED,MIXED,MEDIUM,OVERLAP
